T,ablation,n,passed,pass_rate_pct,mfe_density_dna_mean,diversity_21mer_jaccard_dist
1.15,full_reward,4000,3134,78.35,-0.1649599570766951,0.5853
1.15,no_repeat_penalty,4000,3006,75.15,-0.15129973174326994,0.4191
1.15,no_length_prior,4000,2886,72.15,-0.1404631182266791,0.4587
1.15,no_cassette_bonus,4000,1781,44.525,-0.16992059227239026,0.3686
1.15,length_only,4000,1516,37.9,-0.13113474761318986,0.7721
1.15,cds_only,4000,69,1.725,-0.13036290001587145,0.8607
0.95,full_reward,4000,2675,66.875,,0.5783
0.95,no_repeat_penalty,4000,2887,72.175,,0.3937
0.95,no_length_prior,4000,2855,71.375,,0.4474
0.95,no_cassette_bonus,4000,792,19.8,,0.3553
0.95,length_only,4000,1389,34.725,,0.7598
0.95,cds_only,4000,96,2.4,,0.8228
